,Comments,Sentiment
0,Subscribe to Android Developers → https://goo.gle/AndroidDevs,Neutral
1,ياخي هذا اكثر من صنع مصنعي لي كإنسان.,Neutral
2,الكلام كثير وبدون توضيح 😁,Neutral
3,sar please helps❤❤,Neutral
4,"It's just me, or did someone understand something more than Gemini?",Positive
5,"his name is Murat, not Murant :)",Positive
6,"Let's be clear, you mean gambling apps.",Negative
7,Can you please share info on Jetpack compose carousel,Neutral
8,Compose 1.6 was also released today,Neutral
9,"I've watched this video with my family, and it brought us all together. Thank you!",Neutral
10,When Google AI Studio will be available in UK?,Positive
11,Why is my Android system not updating?,Neutral
